ts,open,high,low,close,volume
1782563400000,1584.01,1586.49,1581.42,1585.95,2479.7675
1782565200000,1585.95,1588.49,1584.98,1586.84,3515.3048
1782567000000,1586.84,1593.23,1585.73,1592.3,4785.2447
1782568800000,1592.31,1598.88,1589.49,1594.19,3964.659
1782570600000,1594.19,1596.59,1592.06,1594.68,3474.6364
1782572400000,1594.68,1608.71,1594.09,1602.49,10221.1081
1782574200000,1602.49,1611.02,1602.0,1605.68,4755.9856
1782576000000,1605.68,1606.0,1601.7,1603.18,2203.6717
1782577800000,1603.17,1607.92,1602.12,1606.97,2453.4696
1782579600000,1606.98,1607.1,1588.6,1594.84,8154.1387
1782581400000,1594.85,1596.66,1590.92,1591.42,2605.5766
1782583200000,1591.42,1593.5,1589.2,1592.7,1939.7318
1782585000000,1592.7,1594.7,1592.4,1593.92,836.1259
1782586800000,1593.91,1595.25,1576.95,1581.67,5775.8313
1782588600000,1581.66,1581.67,1573.36,1578.51,5655.0605
1782590400000,1578.51,1583.24,1578.48,1581.36,1420.0917
1782592200000,1581.37,1582.59,1580.37,1581.48,959.6017
1782594000000,1581.48,1585.07,1581.33,1584.83,1946.651
1782595800000,1584.84,1585.69,1573.93,1575.38,3823.3964
1782597600000,1575.38,1576.37,1562.86,1575.32,5963.9866
1782599400000,1575.33,1579.56,1575.24,1578.98,1645.2101
1782601200000,1578.98,1581.58,1570.55,1572.38,2888.1351
1782603000000,1572.38,1575.37,1571.79,1573.99,1328.8992
1782604800000,1574.0,1578.08,1572.71,1577.72,1245.672
1782606600000,1577.72,1577.91,1573.68,1574.75,1709.3471
1782608400000,1574.74,1576.22,1570.0,1575.56,1887.1044
1782610200000,1575.56,1576.95,1574.55,1575.11,1617.0851
1782612000000,1575.11,1580.05,1569.07,1571.77,2903.2997
1782613800000,1571.78,1573.1,1570.81,1572.0,1124.0054
1782615600000,1572.01,1576.11,1572.01,1574.7,865.6484
1782617400000,1574.71,1575.54,1573.0,1575.08,807.1056
1782619200000,1575.08,1575.69,1572.49,1574.37,1614.6811
1782621000000,1574.37,1577.34,1570.64,1574.32,1474.6825
1782622800000,1574.32,1574.33,1564.33,1565.89,3876.9456
1782624600000,1565.89,1570.81,1564.47,1569.17,2704.6066
1782626400000,1569.18,1570.65,1562.41,1565.58,3605.2652
1782628200000,1565.58,1569.2,1565.39,1567.84,2233.892
1782630000000,1567.85,1573.76,1567.84,1571.4,3006.8236
1782631800000,1571.4,1577.13,1570.99,1575.96,2520.3616
1782633600000,1575.96,1578.68,1573.75,1575.07,1942.95
1782635400000,1575.08,1585.32,1575.07,1581.58,6396.7596
1782637200000,1581.58,1586.35,1580.05,1582.17,2401.0388
1782639000000,1582.16,1584.45,1578.37,1579.09,3747.2366
1782640800000,1579.08,1581.42,1572.23,1573.79,3526.8329
1782642600000,1573.79,1577.44,1573.79,1577.16,1730.889
1782644400000,1577.16,1583.53,1575.9,1582.05,2085.3428
1782646200000,1582.05,1584.0,1579.15,1582.87,2036.8806
1782648000000,1582.86,1585.0,1578.21,1584.67,4723.0773
1782649800000,1584.67,1588.82,1579.31,1583.56,4252.4209
1782651600000,1583.56,1583.85,1575.04,1580.5,2481.9197
1782653400000,1580.5,1583.15,1578.24,1579.68,1821.3329
1782655200000,1579.68,1586.36,1577.92,1582.41,2342.7125
1782657000000,1582.42,1586.13,1580.97,1581.56,2550.8366
1782658800000,1581.55,1585.36,1577.2,1582.38,3207.044
1782660600000,1582.37,1584.75,1577.39,1580.89,2295.2114
1782662400000,1580.9,1581.94,1573.55,1576.61,3056.0158
1782664200000,1576.62,1577.05,1566.62,1572.85,6337.4527
1782666000000,1572.84,1577.36,1567.15,1567.74,2984.5874
1782667800000,1567.73,1573.5,1563.53,1572.35,3845.485
1782669600000,1572.34,1575.15,1569.37,1569.99,2241.4716
1782671400000,1569.99,1572.83,1569.08,1571.78,1395.5818
1782673200000,1571.79,1571.79,1567.47,1570.31,1691.0295
1782675000000,1570.32,1574.55,1556.81,1564.62,5224.0749
1782676800000,1564.61,1576.42,1564.3,1574.01,3403.3165
1782678600000,1574.01,1574.94,1572.08,1573.2,1301.7422
1782680400000,1573.2,1573.21,1568.72,1570.53,1292.2217
1782682200000,1570.52,1573.87,1559.21,1563.62,2791.9923
1782684000000,1563.63,1582.29,1559.82,1567.64,6887.1992
1782685800000,1567.64,1570.32,1548.37,1557.09,8606.7504
1782687600000,1557.08,1571.42,1555.35,1570.05,4427.8099
1782689400000,1570.05,1580.1,1569.67,1571.96,3955.3993
1782691200000,1571.96,1574.2,1559.64,1560.27,3455.8782
1782693000000,1560.27,1574.69,1552.21,1573.53,5904.8422
1782694800000,1573.53,1574.28,1560.44,1562.93,2924.7643
1782696600000,1562.93,1573.95,1560.19,1568.7,2876.4785
1782698400000,1568.71,1575.38,1550.43,1573.06,6324.1322
1782700200000,1573.07,1579.15,1569.71,1576.6,5939.3841
1782702000000,1576.6,1589.75,1576.6,1587.12,6891.4775
