series,cond,n,hit2,hitH,e2,med_t,med_nb,med_mae,r24_mean,delta_hitH,q
ICPUSDT-15m,C1_wick8_trend_up,4614,0.5459471174685739,0.8899003034243607,0.8491547464239272,2,0.0,32.83302244372594,0.8875061906174082,-0.022799061007825472,
ICPUSDT-15m,C2_wick8_sma_above,6352,0.5410894206549118,0.8910579345088161,0.8528022670025189,2,0.0,30.269886179808896,2.2846612230878987,-0.0265303096966073,
ICPUSDT-15m,C3_wick8_quietvol,4470,0.5928411633109619,0.9156599552572707,0.8899328859060402,1,0.0,24.27997320830684,0.9869645628318036,0.016921301479126183,
ICPUSDT-15m,C4_wick8_bear_regime,53,0.6037735849056604,0.9622641509433962,0.9245283018867925,1,0.0,21.18943353580969,-18.938068564694085,0.05792306567207839,
ICPUSDT-15m,C6_wick910_dipbuy,3100,0.5290322580645161,0.9125806451612903,0.8777419354838709,2,0.0,30.239590602467523,7.984837579148455,0.010520358954043796,
ICPUSDT-1h,uwd=7,326,0.6349693251533742,0.9263803680981595,0.8957055214723927,1,0.0,56.39443232751474,32.49520854140097,0.01670074982958414,0.4399
ICPUSDT-1h,uwd=8,976,0.6301229508196722,0.9221311475409836,0.8985655737704918,1,0.0,58.825067238490405,18.70659067312236,0.01538859062329534,0.2818
ICPUSDT-1h,uwd=9,979,0.5822267620020429,0.9080694586312564,0.8661899897854954,2,0.0,54.932478828107165,3.865032724876468,-0.004688103841343327,0.7519
ICPUSDT-1h,uwd=10,979,0.4902962206332993,0.898876404494382,0.839632277834525,2,0.0,62.60709621473251,30.180936297854977,-0.017826795856341393,0.2203
ICPUSDT-1h,uwd_ge=8,2934,0.5674846625766872,0.9096796182685754,0.8680981595092024,2,0.0,58.52083543537467,16.608983637437806,-0.01670074982958414,0.4399
ICPUSDT-1h,uwd_ge=9,1958,0.5362614913176711,0.9034729315628192,0.8529111338100103,2,0.0,58.52083543537467,13.132055741217446,-0.019722152922587943,0.1409
