entry,f,cond,exit,K,cost_cfg,N,net,ci_lo,ci_hi,wr,pval
PB,1.5,C6_w9dip,NOSL,0,PB_MKT,176,103.71,51.3,149.0,0.915,3.2e-05
PB,1.5,C6_w9dip,NOSL,0,MKT_MKT,176,100.21,47.8,145.5,0.915,5.8e-05
PB,1.5,C6_w9dip,TIME,12,PB_PB,176,20.43,-41.7,73.8,0.784,0.488056
PB,1.5,C6_w9dip,TIME,12,PB_MKT,176,12.93,-49.2,66.3,0.784,0.660726
PB,1.5,C6_w9dip,TIME,12,MKT_MKT,176,9.43,-52.7,62.8,0.784,0.748856
PB,1.5,C6_w9dip,TIME,24,PB_PB,176,60.9,-1.9,116.7,0.864,0.044138
PB,1.5,C6_w9dip,TIME,24,PB_MKT,176,53.4,-9.4,109.2,0.864,0.077582
PB,1.5,C6_w9dip,TIME,24,MKT_MKT,176,49.9,-12.9,105.7,0.864,0.099104
PB,1.5,C6_w9dip,TIME,48,PB_PB,176,111.21,58.8,156.5,0.915,8e-06
PB,1.5,C6_w9dip,TIME,48,PB_MKT,176,103.71,51.3,149.0,0.915,3.2e-05
PB,1.5,C6_w9dip,TIME,48,MKT_MKT,176,100.21,47.8,145.5,0.915,5.8e-05
PB,1.5,CQ7_w78q,NOSL,0,PB_PB,122,-18.77,-113.4,58.1,0.885,0.334007
PB,1.5,CQ7_w78q,NOSL,0,PB_MKT,122,-26.27,-120.9,50.6,0.885,0.274182
PB,1.5,CQ7_w78q,NOSL,0,MKT_MKT,122,-29.77,-124.4,47.1,0.885,0.248197
PB,1.5,CQ7_w78q,TIME,12,PB_PB,122,-64.32,-131.7,-4.0,0.738,0.024192
PB,1.5,CQ7_w78q,TIME,12,PB_MKT,122,-71.82,-139.2,-11.5,0.738,0.013756
PB,1.5,CQ7_w78q,TIME,12,MKT_MKT,122,-75.32,-142.7,-15.0,0.738,0.0104
PB,1.5,CQ7_w78q,TIME,24,PB_PB,122,-26.14,-101.2,36.7,0.82,0.228842
PB,1.5,CQ7_w78q,TIME,24,PB_MKT,122,-33.64,-108.7,29.2,0.82,0.169595
PB,1.5,CQ7_w78q,TIME,24,MKT_MKT,122,-37.14,-112.2,25.7,0.82,0.145664
PB,1.5,CQ7_w78q,TIME,48,PB_PB,122,-18.77,-113.4,58.1,0.885,0.334007
PB,1.5,CQ7_w78q,TIME,48,PB_MKT,122,-26.27,-120.9,50.6,0.885,0.274182
PB,1.5,CQ7_w78q,TIME,48,MKT_MKT,122,-29.77,-124.4,47.1,0.885,0.248197
MKT,1.0,ALL,NOSL,0,PB_PB,839,53.68,26.3,77.3,0.934,3.8e-05
MKT,1.0,ALL,NOSL,0,PB_MKT,839,46.18,18.8,69.8,0.934,0.000392
MKT,1.0,ALL,NOSL,0,MKT_MKT,839,42.68,15.3,66.3,0.934,0.001051
MKT,1.0,ALL,TIME,12,PB_PB,839,25.69,5.6,46.2,0.844,0.013109
MKT,1.0,ALL,TIME,12,PB_MKT,839,18.19,-1.9,38.7,0.844,0.079
MKT,1.0,ALL,TIME,12,MKT_MKT,839,14.69,-5.4,35.2,0.844,0.156038
MKT,1.0,ALL,TIME,24,PB_PB,839,35.31,11.3,58.0,0.894,0.003083
MKT,1.0,ALL,TIME,24,PB_MKT,839,27.81,3.8,50.5,0.894,0.019765
MKT,1.0,ALL,TIME,24,MKT_MKT,839,24.31,0.3,47.0,0.894,0.041604
