series,cond,entry,f,exit,N,net_taker,net_maker,ci_lo_m,ci_hi_m,wr,sig_maker
SOLUSDT-15m,uwd78,PB,1.5,mid,4597,-11.93,-4.93,-5.7,-4.2,0.106,False
SOLUSDT-15m,uwd79,PB,1.5,mid,8205,-11.96,-4.96,-5.6,-4.3,0.093,False
SOLUSDT-15m,prevBear,PB,1.5,mid,5775,-11.83,-4.83,-5.5,-4.2,0.082,False
SOLUSDT-15m,smaBelow,PB,1.5,mid,5065,-11.91,-4.91,-5.8,-3.9,0.085,False
SOLUSDT-15m,C3_w8q,PB,1.5,mid,4531,-11.9,-4.9,-5.4,-4.4,0.074,False
SOLUSDT-15m,C6_w9dip,PB,1.5,mid,2825,-11.35,-4.35,-5.7,-2.7,0.069,False
SOLUSDT-15m,CQ7_w78q,PB,1.5,mid,1904,-11.7,-4.7,-5.6,-3.8,0.112,False
SOLUSDT-15m,ALL,PB,1.5,NOSL,11944,-0.28,6.72,3.0,10.4,0.844,True
SOLUSDT-15m,quiet,PB,1.5,NOSL,4990,2.36,9.36,5.4,13.0,0.89,True
SOLUSDT-15m,uwd78,PB,1.5,NOSL,4597,4.31,11.31,6.5,16.1,0.865,True
SOLUSDT-15m,uwd79,PB,1.5,NOSL,8205,0.74,7.74,3.8,11.5,0.854,True
SOLUSDT-15m,prevBear,PB,1.5,NOSL,5775,0.2,7.2,2.1,12.5,0.853,True
SOLUSDT-15m,smaBelow,PB,1.5,NOSL,5065,4.29,11.29,5.0,17.7,0.87,True
SOLUSDT-15m,C3_w8q,PB,1.5,NOSL,4531,1.73,8.73,4.7,12.9,0.889,True
SOLUSDT-15m,C6_w9dip,PB,1.5,NOSL,2825,6.27,13.27,4.0,23.1,0.855,True
SOLUSDT-15m,CQ7_w78q,PB,1.5,NOSL,1904,6.02,13.02,8.0,18.0,0.907,True
SOLUSDT-30m,ALL,MKT,1.0,low,6817,-23.4,-16.4,-18.5,-14.4,0.431,False
SOLUSDT-30m,quiet,MKT,1.0,low,2764,-22.13,-15.13,-17.2,-13.2,0.433,False
SOLUSDT-30m,uwd78,MKT,1.0,low,2728,-26.24,-19.24,-22.0,-16.5,0.486,False
SOLUSDT-30m,uwd79,MKT,1.0,low,4772,-25.76,-18.76,-21.2,-16.4,0.462,False
SOLUSDT-30m,prevBear,MKT,1.0,low,3255,-25.44,-18.44,-21.1,-15.7,0.439,False
SOLUSDT-30m,smaBelow,MKT,1.0,low,2952,-26.03,-19.03,-22.2,-15.8,0.428,False
SOLUSDT-30m,C3_w8q,MKT,1.0,low,2472,-21.52,-14.52,-16.5,-12.4,0.426,False
SOLUSDT-30m,C6_w9dip,MKT,1.0,low,1566,-25.44,-18.44,-23.9,-13.2,0.401,False
SOLUSDT-30m,CQ7_w78q,MKT,1.0,low,1142,-23.35,-16.35,-19.5,-13.2,0.483,False
SOLUSDT-30m,ALL,MKT,1.0,mid,6817,-23.44,-16.44,-18.4,-14.5,0.394,False
SOLUSDT-30m,quiet,MKT,1.0,mid,2764,-22.09,-15.09,-17.0,-13.2,0.398,False
SOLUSDT-30m,uwd78,MKT,1.0,mid,2728,-26.38,-19.38,-22.1,-16.7,0.439,False
SOLUSDT-30m,uwd79,MKT,1.0,mid,4772,-25.91,-18.91,-21.2,-16.6,0.42,False
SOLUSDT-30m,prevBear,MKT,1.0,mid,3255,-25.08,-18.08,-20.6,-15.5,0.406,False
SOLUSDT-30m,smaBelow,MKT,1.0,mid,2952,-25.59,-18.59,-21.7,-15.5,0.391,False
SOLUSDT-30m,C3_w8q,MKT,1.0,mid,2472,-21.6,-14.6,-16.6,-12.6,0.391,False
SOLUSDT-30m,C6_w9dip,MKT,1.0,mid,1566,-25.25,-18.25,-23.3,-13.1,0.365,False
SOLUSDT-30m,CQ7_w78q,MKT,1.0,mid,1142,-23.45,-16.45,-19.6,-13.4,0.437,False
SOLUSDT-30m,ALL,MKT,1.0,NOSL,6817,-12.47,-5.47,-10.6,-0.7,0.898,False
SOLUSDT-30m,quiet,MKT,1.0,NOSL,2764,-11.9,-4.9,-12.0,1.6,0.929,False
SOLUSDT-30m,uwd78,MKT,1.0,NOSL,2728,-19.99,-12.99,-21.7,-5.2,0.913,False
SOLUSDT-30m,uwd79,MKT,1.0,NOSL,4772,-16.69,-9.69,-15.5,-3.7,0.906,False
SOLUSDT-30m,prevBear,MKT,1.0,NOSL,3255,-12.6,-5.6,-12.4,1.0,0.903,False
SOLUSDT-30m,smaBelow,MKT,1.0,NOSL,2952,-13.73,-6.73,-14.4,0.5,0.907,False
SOLUSDT-30m,C3_w8q,MKT,1.0,NOSL,2472,-10.77,-3.77,-11.2,2.9,0.928,False
SOLUSDT-30m,C6_w9dip,MKT,1.0,NOSL,1566,-11.44,-4.44,-16.1,6.6,0.893,False
SOLUSDT-30m,CQ7_w78q,MKT,1.0,NOSL,1142,-16.99,-9.99,-20.0,-0.9,0.932,False
